Compound Name,PubChem ID,Molecular Weight (g/mol),H-Donors,H-Acceptors,LogP,Drug Possibility,Lipinski Violations,Number of Atoms,Molecular Formula,Number of Bonds,Number of Rings,Topological Polar Surface Area,Rotatable Bonds,Number of Heavy Atoms,Number of Aromatic Rings,Number of Saturated Rings,Number of Aliphatic Rings,Number of Bridge Head Atoms,Percent of sp^3 Hybridization,Surface Area,Max Partial Charge,Hall Kier Alpha
"[3,4-dihydroxy-6-(hydroxymethyl)-5-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-2-yl] acetate",188,384.334,7,12,-4.8264,False,Hydrogen bond donors > 5); Hydrogen bond acceptors > 10),26,C14H24O12,27,2,195.6,5,26,0,2,2,0,0.9285714285714286,147.64717549,0.43291012,-0.93
3-acetyloxy-2-aminopropanoic acid,189,147.13,2,4,-1.0386,True,None,10,C5H9NO4,9,0,89.62,3,10,0,0,0,0,0.6,57.76973336,0.47998963,-1.1
7H-purin-6-amine,190,135.13,2,4,-0.0649,True,None,10,C5H5N5,11,2,80.48,0,10,2,0,0,0,0.0,56.32106271,0.38179827,-1.65
"2-(6-aminopurin-9-yl)-5-(hydroxymethyl)oxolane-3,4-diol",191,267.245,4,9,-1.98,True,None,19,C10H13N5O4,21,3,139.54000000000002,2,19,2,1,1,0,0.5,106.8461601,0.39356685,-1.81
"[[5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] (3,4,5-trihydroxyoxolan-2-yl)methyl hydrogen phosphate",192,559.318,8,17,-3.2827,False,Molecular Weight (g/mol) > 500); Hydrogen bond donors > 5); Hydrogen bond acceptors > 10),36,C15H23N5O14P2,39,4,291.5199999999999,9,36,2,2,2,0,0.6666666666666666,200.3953768,0.48070771,-1.67
"2-amino-4-[[5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methylsulfanyl]butanoic acid",193,384.418,5,11,-1.4371,False,Hydrogen bond acceptors > 10),26,C14H20N6O5S,28,3,182.63,7,26,2,1,1,0,0.5714285714285714,151.93045138,0.48008607,-1.99
"[[5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] [[[5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl] hydrogen phosphate",194,836.391,10,25,-2.4464,False,Molecular Weight (g/mol) > 500); Hydrogen bond donors > 5); Hydrogen bond acceptors > 10),53,C20H28N10O19P4,58,6,433.9699999999999,14,53,4,2,2,0,0.5,292.67264764,0.48955464,-2.98
"2-[[9-[3,4-dihydroxy-5-(phosphonooxymethyl)oxolan-2-yl]purin-6-yl]amino]butanedioic acid",195,463.296,7,12,-2.1054,False,Hydrogen bond donors > 5); Hydrogen bond acceptors > 10),31,C14H18N5O11P,33,3,246.67999999999995,9,31,2,1,1,0,0.5,171.88480141,0.48116147,-2.72
hexanedioic acid,196,146.142,2,2,0.716,True,None,10,C6H10O4,9,0,74.6,5,10,0,0,0,0,0.6666666666666666,58.4754733,0.48123039,-1.06
"[5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl phosphono hydrogen phosphate",197,427.203,6,12,-1.746,False,Hydrogen bond donors > 5); Hydrogen bond acceptors > 10),27,C10H15N5O10P2,29,3,232.59999999999997,6,27,2,1,1,0,0.5,149.76093942,0.48070359,-1.51
"[[5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] [3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl] hydrogen phosphate",198,589.344,9,18,-3.9218,False,Molecular Weight (g/mol) > 500); Hydrogen bond donors > 5); Hydrogen bond acceptors > 10),38,C16H25N5O15P2,41,4,311.74999999999994,9,38,2,2,2,0,0.6875,211.55455266,0.48305824,-1.71
2-(4-aminobutyl)guanidine,199,130.195,3,2,-1.0013,True,None,9,C5H14N4,8,0,90.41999999999999,4,9,0,0,0,0,0.8,55.11401406,0.37015315,-0.77
"[5-(5-amino-4-carbamoylimidazol-1-yl)-3,4-dihydroxyoxolan-2-yl]methyl dihydrogen phosphate",200,338.213,6,9,-2.7073,False,Hydrogen bond donors > 5),22,C9H15N4O8P,23,2,203.38000000000002,5,22,1,1,1,0,0.5555555555555556,123.04894418,0.46917069,-1.53
"3,7,11,15,19,23,27-heptamethyloctacosa-2,6,10,14,18,22,26-heptaenyl phosphono hydrogen phosphate",201,654.806,3,4,11.5379,False,Molecular Weight (g/mol) > 500); Octanol-water partition coefficient (LogP) > 5),44,C35H60O7P2,43,0,113.29000000000002,23,44,0,0,0,0,0.6,268.02907476,0.48091633,-1.56
"3,7,11,15,19,23-hexamethyltetracosa-2,6,10,14,18,22-hexaenyl phosphono hydrogen phosphate",202,586.687,3,4,9.8114,False,Molecular Weight (g/mol) > 500); Octanol-water partition coefficient (LogP) > 5),39,C30H52O7P2,38,0,113.29000000000002,20,39,0,0,0,0,0.6,236.89396722,0.48091633,-1.3
"2,2-bis(carbamoylamino)acetic acid",203,176.132,5,3,-2.2663,True,None,12,C4H8N4O4,11,0,147.54000000000002,3,12,0,0,0,0,0.25,66.89238318,0.47832297,-1.99
"(2,5-dioxoimidazolidin-4-yl)urea",204,158.117,4,3,-2.1798,True,None,11,C4H6N4O3,11,1,113.32000000000001,1,11,0,1,1,0,0.25,61.30228977,0.35160686,-1.79
2-amino-3-hydroxybutanoic acid,205,119.12,3,3,-1.2209,True,None,8,C4H9NO3,7,0,83.55,2,8,0,0,0,0,0.75,46.92395767,0.4800132,-0.61
"6-(hydroxymethyl)oxane-2,3,4,5-tetrol",206,180.156,5,6,-3.2214,True,None,12,C6H12O6,12,1,110.38000000000001,1,12,0,1,1,0,1.0,68.64284444,0.39356652,-0.24
2-amino-6-oxohexanoic acid,207,145.158,2,3,-0.2325,True,None,10,C6H11NO3,9,0,80.39,5,10,0,0,0,0,0.6666666666666666,59.02113025,0.48008645,-0.9
"(3,4,5,6-tetrahydroxyoxan-2-yl)methyl dihydrogen phosphate",208,260.135,6,7,-3.1044,False,Hydrogen bond donors > 5),16,C6H13O9P,16,1,156.91,3,16,0,1,1,0,1.0,90.10023409,0.46917069,-0.09
"5-acetamido-2-[2-[5-acetamido-6-[5-acetamido-6-[(3-acetamido-4-amino-4-oxobutanoyl)amino]-4-hydroxy-2-(hydroxymethyl)oxan-3-yl]oxy-4-hydroxy-2-(hydroxymethyl)oxan-3-yl]oxy-3,5-dihydroxy-6-(hydroxymethyl)oxan-4-yl]oxy-4-hydroxy-6-(1,2,3-trihydroxypropyl)oxane-2-carboxylic acid",209,1032.957,18,25,-11.6076,False,Molecular Weight (g/mol) > 500); Hydrogen bond donors > 5); Hydrogen bond acceptors > 10),71,C39H64N6O26,74,4,513.0299999999999,21,71,0,4,4,0,0.8205128205128205,402.12920471,0.47725559,-4.43
"5-acetamido-2-[[6-[5-acetamido-4,6-dihydroxy-2-(hydroxymethyl)oxan-3-yl]oxy-3,4,5-trihydroxyoxan-2-yl]methoxy]-4-hydroxy-6-(1,2,3-trihydroxypropyl)oxane-2-carboxylic acid",210,674.606,13,18,-8.0796,False,Molecular Weight (g/mol) > 500); Hydrogen bond donors > 5); Hydrogen bond acceptors > 10),46,C25H42N2O19,48,3,343.95,12,46,0,3,3,0,0.88,260.3689564,0.47725573,-2.19
"2-(5,6-dimethylbenzimidazol-1-yl)-5-(hydroxymethyl)oxolane-3,4-diol",211,278.308,3,6,0.26464,True,None,20,C14H18N2O4,22,3,87.74000000000001,2,20,2,1,1,0,0.5,115.79685767,0.39356685,-1.47
"[5-(5,6-dimethylbenzimidazol-1-yl)-3,4-dihydroxyoxolan-2-yl]methyl dihydrogen phosphate",212,358.287,4,7,0.38164,True,None,24,C14H19N2O7P,26,3,134.27,4,24,2,1,1,0,0.5,137.25424733,0.46917069,-1.32
"7-[3-(3-hydroxyoct-1-enyl)-2,6-dioxabicyclo[3.1.1]heptan-4-yl]hept-5-enoic acid",213,352.471,2,4,3.815,True,None,25,C20H32O5,26,3,75.99000000000001,12,25,0,3,3,2,0.75,150.25936289,0.48123025,-1.17
7-[3-hydroxy-2-(3-hydroxyoct-1-enyl)-5-oxocyclopentyl]heptanoic acid,214,354.487,3,4,3.4751,True,None,25,C20H34O5,25,1,94.83000000000001,13,25,0,1,1,0,0.8,150.68346247,0.48123039,-1.2
1-aminopropan-2-one,215,73.095,1,2,-0.4659,True,None,5,C3H7NO,4,0,43.09,1,5,0,0,0,0,0.6666666666666666,30.97054805,0.32407261,-0.37
(4-amino-2-methylpyrimidin-5-yl)methyl dihydrogen phosphate,216,219.137,3,5,-0.02348,True,None,14,C6H10N3O4P,14,1,118.56,3,14,1,0,0,0,0.3333333333333333,80.19209742,0.46940706,-1.01
(4-amino-2-methylpyrimidin-5-yl)methyl phosphono hydrogen phosphate,217,299.116,4,7,0.09352,True,None,18,C6H11N3O7P2,18,1,165.08999999999997,5,18,1,0,0,0,0.3333333333333333,101.64948707,0.48093992,-0.86
"2-amino-6-(hydroxymethyl)-7,8-dihydro-1H-pteridin-4-one",218,195.182,4,6,-1.1576,True,None,14,C7H9N5O2,15,2,116.39,1,14,1,0,1,0,0.2857142857142857,78.70052549,0.39034269,-1.89
2-amino-3-oxobutanoic acid,219,117.104,2,3,-1.0127,True,None,8,C4H7NO3,7,0,80.39,2,8,0,0,0,0,0.5,46.29124602,0.47975004,-0.9
4-diethoxyphosphinothioyloxyaniline,220,261.283,1,5,2.9451,True,None,16,C10H16NO3PS,16,1,53.71,6,16,1,0,0,0,0.4,100.95162607,0.42412693,-0.61
"5-amino-6-(2,3,4,5-tetrahydroxypentylamino)-1H-pyrimidine-2,4-dione",221,276.249,8,8,-3.8677,False,Hydrogen bond donors > 5),19,C9H16N4O6,19,1,184.69,6,19,1,0,0,0,0.5555555555555556,106.08514174,0.39357914,-1.88
azane,222,17.031,1,1,0.162,True,None,1,H3N,0,0,35.0,0,1,0,0,0,0,0.0,7.50422812,0.34392574,-0.04
azanium,223,18.039,1,0,0.3762,True,None,1,H4N+,0,0,36.5,0,1,0,0,0,0,0.0,7.50422812,0.36885903,-0.04
"[5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl dihydrogen phosphate",224,347.224,5,10,-1.863,True,None,23,C10H14N5O7P,25,3,186.07,4,23,2,1,1,0,0.5,128.30354976,0.46917069,-1.66
"3-hydroxy-10,13-dimethyl-1,2,3,4,5,6,7,8,9,11,12,14,15,16-tetradecahydrocyclopenta[a]phenanthren-17-one",225,290.447,1,2,3.9591,True,None,21,C19H30O2,24,4,37.3,0,21,0,4,4,0,0.9473684210526315,128.24064033,0.39311973,-0.37
amino(phosphanyl)methanol,226,79.039,2,2,-0.9039,True,None,4,CH6NOP,3,0,46.25,0,4,0,0,0,0,1.0,27.2032707,0.37552887,0.35
2-aminobenzoic acid,227,137.138,2,2,0.967,True,None,10,C7H7NO2,10,1,63.31999999999999,1,10,1,0,0,0,0.0,58.09199178,0.47758357,-1.51
"[5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl sulfo hydrogen phosphate",228,427.288,5,13,-2.0359,False,Hydrogen bond acceptors > 10),27,C10H14N5O10PS,29,3,229.43999999999997,6,27,2,1,1,0,0.5,150.46050112,0.4883146,-1.75
"oxane-2,3,4,5-tetrol",229,150.13,4,5,-2.5823,True,None,10,C5H10O5,10,1,90.15,0,10,0,1,1,0,1.0,57.48366857,0.3878997,-0.2
"(2,3,4-trihydroxy-5-oxopentyl) dihydrogen phosphate",230,230.109,5,6,-2.6227,True,None,14,C5H11O8P,13,0,144.52,6,14,0,0,0,0,0.8,78.99486625,0.46917052,-0.34
"icosa-5,8,11,14-tetraenoic acid",231,304.474,1,1,6.2167,False,Octanol-water partition coefficient (LogP) > 5),22,C20H32O2,21,0,37.3,14,22,0,0,0,0,0.55,135.87049492,0.48123025,-1.57
2-amino-5-(diaminomethylideneamino)pentanoic acid,232,174.204,4,3,-1.5481,True,None,12,C6H14N4O2,11,0,127.71999999999998,5,12,0,0,0,0,0.6666666666666666,70.43471203,0.48008644,-1.3
hydrogen arsorate,233,139.926,1,3,-3.4346,True,None,5,HAsO4-2,4,0,83.42,0,5,0,0,0,0,0.0,31.40997704,nan,0.23844156
arsoric acid,234,141.942,3,1,-2.1706,True,None,5,H3AsO4,4,0,77.76,0,5,0,0,0,0,0.0,31.40997704,nan,0.23844156
"2-(1,2-dihydroxyethyl)-4,5-dihydroxyfuran-3-one",235,176.124,4,6,-1.4074,True,None,12,C6H8O6,12,1,107.22000000000001,2,12,0,0,1,0,0.5,67.32052975,0.49935997,-1.27
"2,4-diamino-4-oxobutanoic acid",236,132.119,3,3,-1.7263,True,None,9,C4H8N2O3,8,0,106.40999999999998,3,9,0,0,0,0,0.5,51.63113672,0.48007542,-1.1
"4-N-(6-chloro-2-methoxyacridin-9-yl)-1-N,1-N-diethylpentane-1,4-diamine",237,399.966,1,4,5.9724,False,Octanol-water partition coefficient (LogP) > 5),28,C23H30ClN3O,30,3,37.39,9,28,3,0,0,0,0.43478260869565216,172.39030862,0.49674176,-2.04
"[[5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] phosphono hydrogen phosphate",238,507.182,7,14,-1.629,False,Molecular Weight (g/mol) > 500); Hydrogen bond donors > 5); Hydrogen bond acceptors > 10),31,C10H16N5O13P3,33,3,279.12999999999994,8,31,2,1,1,0,0.5,171.21832907,0.48954298,-1.36
3-aminopropanoic acid,239,89.094,2,2,-0.5802,True,None,6,C3H7NO2,5,0,63.32000000000001,2,6,0,0,0,0,0.6666666666666666,35.76478181,0.48119525,-0.57
benzaldehyde,240,106.124,0,1,1.4991,True,None,8,C7H6O,8,1,17.07,1,8,1,0,0,0,0.0,47.95786733,0.29789641,-1.11
benzene,241,78.114,0,0,1.6866,True,None,6,C6H6,6,1,0.0,0,6,1,0,0,0,0.0,37.43140312,0.06226857,-0.78
benzoate,242,121.115,0,2,0.0501,True,None,9,C7H5O2-,9,1,40.129999999999995,1,9,1,0,0,0,0.0,52.75210109,0.54481512,-1.31
benzoic acid,243,122.123,1,1,1.3848,True,None,9,C7H6O2,9,1,37.3,1,9,1,0,0,0,0.0,52.75210109,0.47763925,-1.31
phenylmethanol,244,108.14,1,1,1.1789,True,None,8,C7H8O,8,1,20.23,1,8,1,0,0,0,0.14285714285714285,48.59057899,0.39168047,-0.82
"N-[2,4-dihydroxy-6-(hydroxymethyl)-5-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-3-yl]acetamide",245,383.35,8,11,-5.2534,False,Hydrogen bond donors > 5); Hydrogen bond acceptors > 10),26,C14H25NO11,27,2,198.39999999999998,5,26,0,2,2,0,0.9285714285714286,148.08349245,0.39356652,-0.93
"(10,13-dimethyl-17-oxo-1,2,3,4,5,6,7,8,9,11,12,14,15,16-tetradecahydrocyclopenta[a]phenanthren-3-yl) hydrogen sulfate",246,370.511,1,4,3.7862,True,None,25,C19H30O5S,28,4,80.67,2,25,0,4,4,0,0.9473684210526315,150.39759169,0.39711785,-0.46
2-(trimethylazaniumyl)acetate,247,117.148,0,2,-1.5575,True,None,8,C5H11NO2,7,0,40.129999999999995,2,8,0,0,0,0,0.8,49.12458049,0.54411562,-0.57
carboxymethyl(trimethyl)azanium,248,118.156,1,1,-0.2228,True,None,8,C5H12NO2+,7,0,37.3,2,8,0,0,0,0,0.8,49.12458049,0.47707697,-0.57
trimethyl(2-oxoethyl)azanium,249,102.157,0,1,-0.1085,True,None,7,C5H12NO+,6,0,17.07,2,7,0,0,0,0,0.8,44.33034674,0.32497497,-0.37
3-[2-[[3-(2-carboxyethyl)-5-[(3-ethenyl-4-methyl-5-oxopyrrol-2-ylidene)methyl]-4-methyl-1H-pyrrol-2-yl]methyl]-5-[(4-ethenyl-3-methyl-5-oxopyrrol-2-ylidene)methyl]-4-methyl-1H-pyrrol-3-yl]propanoic acid,250,584.673,6,4,4.53124,False,Molecular Weight (g/mol) > 500); Hydrogen bond donors > 5),43,C33H36N4O6,46,4,164.37999999999997,12,43,2,0,2,0,0.2727272727272727,249.2153708,0.48122193,-5.12
3-[2-[[3-(2-carboxyethyl)-5-[(3-ethenyl-4-methyl-5-oxopyrrol-2-ylidene)methyl]-4-methyl-1H-pyrrol-2-yl]methylidene]-5-[(4-ethenyl-3-methyl-5-oxopyrrol-2-yl)methylidene]-4-methylpyrrol-3-yl]propanoic acid,251,582.657,5,4,3.06024,False,Molecular Weight (g/mol) > 500),43,C33H34N4O6,46,4,164.70999999999998,11,43,2,0,2,0,0.24242424242424243,247.87122807,0.48122193,-5.25
"2-amino-6-(1,2-dihydroxypropyl)-7,8-dihydro-1H-pteridin-4-one",252,239.235,5,7,-1.4082,True,None,17,C9H13N5O3,18,2,136.62,2,17,1,0,1,0,0.4444444444444444,96.22464347,0.39030631,-1.93
"5-(2-oxo-1,3,3a,4,6,6a-hexahydrothieno[3,4-d]imidazol-4-yl)pentanoic acid",253,244.316,3,3,0.7968,True,None,16,C10H16N2O3S,17,2,78.43,5,16,0,2,2,0,0.8,98.3521801,0.48123039,-0.91
"3-phenylbenzene-1,2-diol",254,186.21,2,2,2.7648,True,None,14,C12H10O2,15,2,40.46,1,14,2,0,0,0,0.0,82.07696483,0.50424424,-1.96
bis(4-nitrophenyl) hydrogen phosphate,255,340.184,1,7,3.0612,True,None,23,C12H9N2O8P,24,2,142.04000000000002,6,23,2,0,0,0,0.0,128.36538366,0.58440018,-2.97
[5-hydroxy-2-[[3-hydroxy-5-(3-hydroxytetradecanoylamino)-4-(3-hydroxytetradecanoyloxy)-6-phosphonooxyoxan-2-yl]methoxy]-6-(hydroxymethyl)-3-(3-hydroxytetradecanoylamino)oxan-4-yl] 3-hydroxytetradecanoate,256,1325.748,11,18,10.757,False,Molecular Weight (g/mol) > 500); Hydrogen bond donors > 5); Hydrogen bond acceptors > 10); Octanol-water partition coefficient (LogP) > 5),91,C68H129N2O20P,92,2,346.86,58,91,0,2,2,0,0.9411764705882353,546.30350897,0.47150262,-2.41
[3-hydroxy-2-(hydroxymethyl)-5-(3-hydroxytetradecanoylamino)-6-phosphonooxyoxan-4-yl] 3-hydroxytetradecanoate,257,711.871,7,10,4.9142,False,Molecular Weight (g/mol) > 500); Hydrogen bond donors > 5),48,C34H66NO12P,48,1,212.30999999999997,29,48,0,1,1,0,0.9411764705882353,287.30506491,0.47150262,-1.15
"3-[[3-amino-5-[carbamimidoyl(methyl)amino]pentanoyl]amino]-6-(4-amino-2-oxopyrimidin-1-yl)-3,6-dihydro-2H-pyran-2-carboxylic acid",258,422.446,6,9,-2.21873,False,Hydrogen bond donors > 5),30,C17H26N8O5,31,2,215.67000000000004,8,30,1,0,1,0,0.47058823529411764,171.5365481,0.47924992,-3.45
bromide,259,79.904,0,0,-2.996,True,None,1,Br-,0,0,0.0,0,1,0,0,0,0,0.0,17.88117987,1.0,0.48
bromane,260,80.912,0,0,0.5779,True,None,1,HBr,0,0,0.0,0,1,0,0,0,0,0.0,17.88117987,0.11360233,0.48
butanal,261,72.107,0,1,0.9854,True,None,5,C4H8O,4,0,17.07,2,5,0,0,0,0,0.75,31.99559947,0.3034031,-0.33
"butane-2,3-diol",262,90.122,2,2,-0.252,True,None,6,C4H10O2,5,0,40.46,1,6,0,0,0,0,1.0,37.42254488,0.39073832,-0.08
butan-1-ol,263,74.123,1,1,0.7788,True,None,5,C4H10O,4,0,20.23,2,5,0,0,0,0,1.0,32.62831112,0.39637675,-0.04
butanoic acid,264,88.106,1,1,0.8711,True,None,6,C4H8O2,5,0,37.3,2,6,0,0,0,0,0.75,36.78983322,0.48123052,-0.53
"S-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] butanethioate",265,837.632,9,19,-0.5352,False,Molecular Weight (g/mol) > 500); Hydrogen bond donors > 5); Hydrogen bond acceptors > 10),53,C25H42N7O17P3S,55,3,363.63000000000005,21,53,2,1,1,0,0.68,305.51340671,0.4807077,-2.44
phosphono butanoate,266,168.085,2,3,0.4224,True,None,10,C4H9O5P,9,0,83.83000000000001,3,10,0,0,0,0,0.75,58.24722288,0.52648876,-0.38
"6-[[4-[2-[2-[3-acetamido-2-[[[5-(2,4-dioxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-5-hydroxy-6-(hydroxymethyl)oxan-4-yl]oxypropanoylamino]propanoylamino]-4-carboxybutanoyl]amino]-2-amino-7-[[1-(1-carboxyethylamino)-1-oxopropan-2-yl]amino]-7-oxoheptanoic acid",267,1193.954,17,25,-7.2218,False,Molecular Weight (g/mol) > 500); Hydrogen bond donors > 5); Hydrogen bond acceptors > 10),80,C41H65N9O28P2,82,3,578.2800000000002,31,80,1,2,2,0,0.6829268292682927,450.91626989,0.48303847,-6.15
"4-[2-[2-[3-acetamido-2-[[[5-(2,4-dioxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-5-hydroxy-6-(hydroxymethyl)oxan-4-yl]oxypropanoylamino]propanoylamino]-5-[[6-amino-1-[[1-(1-carboxyethylamino)-1-oxopropan-2-yl]amino]-1-oxohexan-2-yl]amino]-5-oxopentanoic acid",268,1149.945,16,24,-6.675,False,Molecular Weight (g/mol) > 500); Hydrogen bond donors > 5); Hydrogen bond acceptors > 10),77,C40H65N9O26P2,79,3,540.9800000000002,30,77,1,2,2,0,0.7,435.59557192,0.48303847,-5.62
"6-[[4-[2-[2-[3-acetamido-5-hydroxy-2-[hydroxy-[hydroxy(3,7,11,15,19,23,27,31,35,39,43-undecamethyltetratetraconta-2,6,10,14,18,22,26,30,34,38,42-undecaenoxy)phosphoryl]oxyphosphoryl]oxy-6-(hydroxymethyl)oxan-4-yl]oxypropanoylamino]propanoylamino]-4-carboxybutanoyl]amino]-2-amino-7-[[1-(1-carboxyethylamino)-1-oxopropan-2-yl]amino]-7-oxoheptanoic acid",269,1717.075,14,19,13.84,False,Molecular Weight (g/mol) > 500); Hydrogen bond donors > 5); Hydrogen bond acceptors > 10); Octanol-water partition coefficient (LogP) > 5),119,C87H143N7O23P2,119,1,473.7300000000001,60,119,0,1,1,0,0.6436781609195402,705.85215482,0.48303858,-7.57
"6-[[4-[2-[2-[3-acetamido-5-[3-acetamido-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-2-[hydroxy-[hydroxy(3,7,11,15,19,23,27,31,35,39,43-undecamethyltetratetraconta-2,6,10,14,18,22,26,30,34,38,42-undecaenoxy)phosphoryl]oxyphosphoryl]oxy-6-(hydroxymethyl)oxan-4-yl]oxypropanoylamino]propanoylamino]-4-carboxybutanoyl]amino]-2-amino-7-[[1-(1-carboxyethylamino)-1-oxopropan-2-yl]amino]-7-oxoheptanoic acid",270,1920.269,17,24,11.808,False,Molecular Weight (g/mol) > 500); Hydrogen bond donors > 5); Hydrogen bond acceptors > 10); Octanol-water partition coefficient (LogP) > 5),133,C95H156N8O28P2,134,2,561.7500000000001,64,133,0,2,2,0,0.6631578947368421,785.29280283,0.48303858,-8.26
calcium(2+),271,40.078,0,0,-0.3808,True,None,1,Ca+2,0,0,0.0,0,1,0,0,0,0,0.0,37.48424576,2.0,1.25974026
calcium dihydride,272,42.094,0,0,-0.9162,True,None,1,H2Ca,0,0,0.0,0,1,0,0,0,0,0.0,37.48424576,nan,1.25974026
"6-(6-aminopurin-9-yl)-2-hydroxy-2-oxo-4a,6,7,7a-tetrahydro-4H-furo[3,2-d][1,3,2]dioxaphosphinin-7-ol",274,329.209,3,10,-0.8174,True,None,22,C10H12N5O6P,25,4,154.83999999999997,1,22,2,2,2,0,0.5,122.82279633,0.4722361,-1.62
2-amino-4-(diaminomethylideneamino)oxybutanoic acid,275,176.176,4,4,-2.0066,True,None,12,C5H12N4O3,11,0,136.95,5,12,0,0,0,0,0.6,69.13735364,0.4800848,-1.5
carbamate,276,60.032,1,2,-1.7116,True,None,4,CH2NO2-,3,0,66.15,0,4,0,0,0,0,0.0,23.03489758,0.53012956,-0.73
carbamic acid,277,61.04,2,1,-0.3769,True,None,4,CH3NO2,3,0,63.32000000000001,0,4,0,0,0,0,0.0,23.03489758,0.46520057,-0.73
phosphono carbamate,278,141.019,3,3,-0.8256,True,None,8,CH4NO5P,7,0,109.85000000000002,1,8,0,0,0,0,0.0,44.49228723,0.52772421,-0.58
2-(carbamoylamino)butanedioic acid,279,176.128,4,3,-1.4174,True,None,12,C5H8N2O5,11,0,129.72,4,12,0,0,0,0,0.4,67.16180617,0.48116146,-1.79
carbon dioxide,280,44.009,0,2,-0.5835,True,None,3,CO2,2,0,34.14,0,3,0,0,0,0,0.0,17.06229523,0.37292882,-0.62
carbon monoxide,281,28.01,0,0,-0.03751,True,None,2,CO,1,0,19.9,0,2,0,0,0,0,0.0,12.61969834,nan,-0.26
"3-(5,6-dihydroxycyclohexa-1,3-dien-1-yl)propanoic acid",282,184.191,3,3,0.0692,True,None,13,C9H12O4,13,1,77.76,3,13,0,0,1,0,0.4444444444444444,75.81797408,0.48122207,-1.13
formate,283,45.017,0,2,-1.6339,True,None,3,CHO2-,2,0,40.129999999999995,0,3,0,0,0,0,0.0,17.69500688,0.55385723,-0.53
formic acid,284,46.025,1,1,-0.2992,True,None,3,CH2O2,2,0,37.3,0,3,0,0,0,0,0.0,17.69500688,0.48346661,-0.53
2-aminooxyacetate,285,90.058,1,4,-2.3734,True,None,6,C2H4NO3-,5,0,75.38,2,6,0,0,0,0,0.5,34.46742342,0.54753966,-0.61
2-aminooxyacetic acid,286,91.066,2,3,-1.0387,True,None,6,C2H5NO3,5,0,72.55,2,6,0,0,0,0,0.5,34.46742342,0.47947632,-0.61
"2-[(3,4-dihydroxy-2-oxo-5-phosphonooxypentyl)amino]benzoic acid",287,349.232,6,7,-0.8031,False,Hydrogen bond donors > 5),23,C12H16NO9P,23,1,173.62,9,23,1,0,0,0,0.3333333333333333,130.12828685,0.47758349,-1.81
3-hydroxy-4-(trimethylazaniumyl)butanoate,288,161.201,1,3,-1.8065,True,None,11,C7H15NO3,10,0,60.36,4,11,0,0,0,0,0.8571428571428571,66.64869848,0.55006381,-0.61
"benzene-1,2-diol",289,110.112,2,2,1.0978,True,None,8,C6H6O2,8,1,40.46,0,8,1,0,0,0,0.0,47.01987062,0.50426012,-1.18
"[5-(4-amino-2-oxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methyl phosphono hydrogen phosphate",290,403.177,6,11,-2.329,False,Hydrogen bond donors > 5); Hydrogen bond acceptors > 10),25,C9H15N3O11P2,26,2,223.88999999999996,6,25,1,1,1,0,0.5555555555555556,138.81198858,0.48070359,-1.18
"2-[[[5-(4-amino-2-oxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxyethyl-trimethylazanium",291,489.335,5,12,-1.5985,False,Hydrogen bond acceptors > 10),31,C14H27N4O11P2+,32,2,212.89000000000001,10,31,1,1,1,0,0.7142857142857143,176.92581579,0.48082612,-1.22
