Compound Name,PubChem ID,Molecular Weight (g/mol),H-Donors,H-Acceptors,LogP,Drug Possibility,Lipinski Violations
"3-(acetyloxymethyl)-7-[[2-(2-amino-1,3-thiazol-4-yl)-2-methoxyiminoacetyl]amino]-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid",2632,455.474,3,11,-0.6225,False,Hydrogen bond acceptors > 10)
"7-[[4-(2-amino-1-carboxy-2-oxoethylidene)-1,3-dithietane-2-carbonyl]amino]-7-methoxy-3-[(1-methyltetrazol-5-yl)sulfanylmethyl]-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid",2633,561.649,4,14,-0.9241,False,Molecular Weight (g/mol) > 500); Hydrogen bond acceptors > 10)
"7-[[4-(2-amino-1-carboxy-2-oxoethylidene)-1,3-dithietane-2-carbonyl]amino]-3-[(1-methyltetrazol-5-yl)sulfanylmethyl]-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid",2634,545.606,4,13,-1.3716,False,Molecular Weight (g/mol) > 500); Hydrogen bond acceptors > 10)
"7-[[2-(2-amino-1,3-thiazol-4-yl)acetyl]amino]-3-[[1-[2-(dimethylamino)ethyl]tetrazol-5-yl]sulfanylmethyl]-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid",2635,525.642,3,13,-0.6532,False,Molecular Weight (g/mol) > 500); Hydrogen bond acceptors > 10)
"1-cyclohexyloxycarbonyloxyethyl 7-[[2-(2-amino-1,3-thiazol-4-yl)acetyl]amino]-3-[[1-[2-(dimethylamino)ethyl]tetrazol-5-yl]sulfanylmethyl]-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylate",2636,695.85,2,17,1.6373,False,Molecular Weight (g/mol) > 500); Hydrogen bond acceptors > 10)
3-(carbamoyloxymethyl)-7-methoxy-8-oxo-7-[(2-thiophen-2-ylacetyl)amino]-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylate,2637,426.452,2,9,-1.2361,True,None
3-(carbamoyloxymethyl)-7-methoxy-8-oxo-7-[(2-thiophen-2-ylacetyl)amino]-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid,2638,427.46,3,8,0.0986,True,None
"7-[[2-(5-amino-1,2,4-thiadiazol-3-yl)-2-methoxyiminoacetyl]amino]-3-(imidazo[1,2-b]pyridazin-1-ium-1-ylmethyl)-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylate",2639,515.537,2,13,-2.4899,False,Molecular Weight (g/mol) > 500); Hydrogen bond acceptors > 10)
"7-[[2-(5-amino-1,2,4-thiadiazol-3-yl)-2-methoxyiminoacetyl]amino]-3-(imidazo[1,2-b]pyridazin-1-ium-1-ylmethyl)-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid",2640,516.545,3,12,-1.1552,False,Molecular Weight (g/mol) > 500); Hydrogen bond acceptors > 10)
7-[[2-[(5-carboxy-1H-imidazole-4-carbonyl)amino]-2-phenylacetyl]amino]-3-[[4-(2-sulfoethyl)pyridin-1-ium-1-yl]methyl]-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid,2641,657.707,6,9,0.209,False,Molecular Weight (g/mol) > 500); Hydrogen bond donors > 5)
7-[[2-(4-hydroxyphenyl)-2-[(6-methyl-4-oxo-1H-pyridine-3-carbonyl)amino]acetyl]amino]-3-[(1-methyltetrazol-5-yl)sulfanylmethyl]-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid,2642,612.65,5,12,-0.08558,False,Molecular Weight (g/mol) > 500); Hydrogen bond acceptors > 10)
"7-[[2-(2-amino-1,3-thiazol-4-yl)-2-methoxyiminoacetyl]amino]-3-(6,7-dihydro-5H-cyclopenta[b]pyridin-1-ium-1-yl)-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid",2643,501.57,3,9,0.2053,False,Molecular Weight (g/mol) > 500)
"1-[(2-methylpropan-2-yl)oxycarbonyloxy]ethyl 7-[[2-(2-amino-1,3-thiazol-4-yl)-2-methoxyiminoacetyl]amino]-3-(methoxymethyl)-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylate",2644,571.634,2,14,1.2171,False,Molecular Weight (g/mol) > 500); Hydrogen bond acceptors > 10)
"1-propan-2-yloxycarbonyloxyethyl 7-[[2-(2-amino-1,3-thiazol-4-yl)-2-methoxyiminoacetyl]amino]-3-(methoxymethyl)-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylate",2645,557.607,2,14,0.827,False,Molecular Weight (g/mol) > 500); Hydrogen bond acceptors > 10)
7-[[2-amino-2-(4-hydroxyphenyl)acetyl]amino]-8-oxo-3-prop-1-enyl-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid,2646,389.433,4,6,0.7067,True,None
"7-[(2-amino-2-cyclohexa-1,4-dien-1-ylacetyl)amino]-3-methoxy-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid",2647,365.411,3,6,-0.0674,True,None
3-[(4-carbamoylpyridin-1-ium-1-yl)methyl]-8-oxo-7-[(2-phenyl-2-sulfonatoacetyl)amino]-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylate,2648,531.548,2,9,-2.2366,False,Molecular Weight (g/mol) > 500)
3-[(4-carbamoylpyridin-1-ium-1-yl)methyl]-8-oxo-7-[(2-phenyl-2-sulfoacetyl)amino]-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid,2649,533.564,4,7,-0.5593,False,Molecular Weight (g/mol) > 500)
"7-[[2-(2-amino-1,3-thiazol-4-yl)-2-(2-carboxypropan-2-yloxyimino)acetyl]amino]-8-oxo-3-(pyridin-1-ium-1-ylmethyl)-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylate",2650,546.587,3,11,-1.2992,False,Molecular Weight (g/mol) > 500); Hydrogen bond acceptors > 10)
"7-[[2-(2-amino-1,3-thiazol-4-yl)-2-(2-carboxypropan-2-yloxyimino)acetyl]amino]-8-oxo-3-(pyridin-1-ium-1-ylmethyl)-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid",2651,547.595,4,10,0.0355,False,Molecular Weight (g/mol) > 500)
"2,2-dimethylpropanoyloxymethyl 7-[[2-(2-amino-1,3-thiazol-4-yl)-2-methoxyiminoacetyl]amino]-3-[(5-methyltetrazol-2-yl)methyl]-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylate",2652,593.648,2,16,-0.18508,False,Molecular Weight (g/mol) > 500); Hydrogen bond acceptors > 10)
"8-oxo-7-[[2-(tetrazol-1-yl)acetyl]amino]-3-(1,3,4-thiadiazol-2-ylsulfanylmethyl)-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid",2653,440.492,2,12,-0.9445,False,Hydrogen bond acceptors > 10)
"7-[[2-(2-amino-1,3-thiazol-4-yl)-4-carboxybut-2-enoyl]amino]-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid",2654,410.433,4,8,-0.0482,True,None
"7-[[2-(2-amino-1,3-thiazol-4-yl)-2-methoxyiminoacetyl]amino]-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid",2655,383.411,3,9,-0.5558,True,None
"7-[[2-(2-amino-1,3-thiazol-4-yl)-2-methoxyiminoacetyl]amino]-3-[(2-methyl-6-oxido-5-oxo-1,2,4-triazin-3-yl)sulfanylmethyl]-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylate",2656,552.576,2,16,-3.1657,False,Molecular Weight (g/mol) > 500); Hydrogen bond acceptors > 10)
"7-[[2-(2-amino-1,3-thiazol-4-yl)-2-methoxyiminoacetyl]amino]-3-[(2-methyl-5,6-dioxo-1H-1,2,4-triazin-3-yl)sulfanylmethyl]-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid",2657,554.592,4,14,-1.6113,False,Molecular Weight (g/mol) > 500); Hydrogen bond acceptors > 10)
3-(carbamoyloxymethyl)-7-[[2-(furan-2-yl)-2-methoxyiminoacetyl]amino]-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylate,2658,423.383,2,10,-1.8707,True,None
3-(carbamoyloxymethyl)-7-[[2-(furan-2-yl)-2-methoxyiminoacetyl]amino]-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid,2659,424.391,3,9,-0.536,True,None
1-acetyloxyethyl 3-(carbamoyloxymethyl)-7-[[2-(furan-3-yl)-2-methoxyiminoacetyl]amino]-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylate,2660,510.481,2,12,-0.1683,False,Molecular Weight (g/mol) > 500); Hydrogen bond acceptors > 10)
"10-hydroxy-2,4a,6a,6a,14a-pentamethyl-11-oxo-1,3,4,5,6,13,14,14b-octahydropicene-2-carboxylic acid",2661,436.592,2,3,6.3076,False,Octanol-water partition coefficient (LogP) > 5)
4-[5-(4-methylphenyl)-3-(trifluoromethyl)pyrazol-1-yl]benzenesulfonamide,2662,381.379,1,4,3.51392,True,None
"3-[3-acetyl-4-[3-(tert-butylamino)-2-hydroxypropoxy]phenyl]-1,1-diethylurea",2663,379.501,3,5,2.8907,True,None
"4,5-dihydroxy-2-(3-hydroxy-4-methoxyphenyl)-3,6-dimethoxychromen-7-one",2664,360.318,3,8,2.5542,True,None
"1-[(3-ethyl-9,10-dimethoxy-2,3,4,6,7,11b-hexahydro-1H-benzo[a]quinolizin-2-yl)methyl]-7-methoxy-1,2,3,4-tetrahydroisoquinolin-6-ol",2665,466.622,2,6,4.6404,True,None
7-[(2-amino-2-phenylacetyl)amino]-3-methyl-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid,2666,347.396,3,5,0.4449,True,None
"5-methyl-2-[2-oxo-1-[(2-thiophen-2-ylacetyl)amino]ethyl]-3,6-dihydro-2H-1,3-thiazine-4-carboxylic acid",2667,340.426,3,6,0.9954,True,None
3-(acetyloxymethyl)-7-[(5-amino-5-carboxypentanoyl)amino]-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylate,2668,414.416,3,9,-2.4644,True,None
3-(acetyloxymethyl)-7-[(5-amino-5-carboxypentanoyl)amino]-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid,2669,415.424,4,8,-1.1297,True,None
3-(acetyloxymethyl)-8-oxo-7-[(2-thiophen-2-ylacetyl)amino]-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylate,2670,395.438,1,8,-0.7424,True,None
[(2-thiophen-2-ylacetyl)amino]methylboronic acid,2671,199.04,3,4,-0.5812,True,None
3-(acetyloxymethyl)-8-oxo-7-[(2-pyridin-4-ylsulfanylacetyl)amino]-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylate,2672,422.464,1,9,-0.8593,True,None
"7-[(2-amino-2-cyclohexa-1,4-dien-1-ylacetyl)amino]-3-methyl-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid",2673,349.412,3,5,0.3486,True,None
"7,19-dihydroxy-5,21-bis(2-hydroxypropyl)-6,20-dimethoxy-12,14-dioxahexacyclo[13.8.0.02,11.03,8.04,22.018,23]tricosa-1,3(8),4,6,10,15,18(23),19,21-nonaene-9,17-dione",2674,534.517,4,10,2.8991,False,Molecular Weight (g/mol) > 500)
"7-[[2-(2-amino-1,3-thiazol-4-yl)-2-(carboxymethoxyimino)acetyl]amino]-3-ethenyl-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid",2675,453.458,4,10,-0.5448,True,None
"7-[4-(4-fluorophenyl)-5-(methoxymethyl)-2,6-di(propan-2-yl)-3-pyridinyl]-3,5-dihydroxyhept-6-enoic acid",2676,459.558,3,5,4.8807,True,None
"3-hydroxy-4-oxododeca-7,10-dienamide",2677,225.288,2,3,1.0944,True,None
2-[2-[4-[(4-chlorophenyl)-phenylmethyl]piperazin-1-yl]ethoxy]acetic acid,2678,388.895,1,4,3.1482,True,None
ethyl [2-[(4-amino-2-methylpyrimidin-5-yl)methyl-formylamino]-5-ethoxycarbonyloxypent-2-en-3-yl]sulfanylformate,2679,426.495,1,10,3.01002,True,None
3-[4-[4-(aminomethyl)cyclohexanecarbonyl]oxyphenyl]propanoic acid,2680,305.374,2,4,2.3743,True,None
hexadecyl(trimethyl)azanium,2681,284.552,0,0,6.1739,False,Octanol-water partition coefficient (LogP) > 5)
hexadecan-1-ol,2682,242.447,1,1,5.46,False,Octanol-water partition coefficient (LogP) > 5)
1-hexadecylpyridin-1-ium,2683,304.542,0,0,6.4554,False,Octanol-water partition coefficient (LogP) > 5)
"2-methylspiro[1,3-oxathiolane-5,3'-1-azabicyclo[2.2.2]octane]",2684,199.319,0,3,1.5602,True,None
2-hydroxy-5-[2-[[2-hydroxy-3-[4-[1-methyl-4-(trifluoromethyl)imidazol-2-yl]phenoxy]propyl]amino]ethoxy]benzamide,2685,494.47,4,8,2.3187,True,None
2-acetamido-N-[4-[[(2-acetamido-3-methylbutanoyl)amino]-(cyclohexylmethyl)amino]-3-hydroxy-1-phenylbutan-2-yl]-3-methylbutanamide,2686,573.779,5,6,2.3097,False,Molecular Weight (g/mol) > 500)
"4-[3-(tert-butylamino)-2-hydroxypropoxy]-1,3-dihydrobenzimidazol-2-one",2687,279.34,4,4,0.984,True,None
"7-chloro-5-(2-chlorophenyl)-1,5-dihydro-4,1-benzothiazepin-2-one",2688,324.232,1,2,4.7681,True,None
"4-(4-methylpiperazin-1-yl)-7-(trifluoromethyl)pyrrolo[1,2-a]quinoxaline",2689,334.345,0,4,3.2581,True,None
"9-chloro-2-(furan-2-yl)-[1,2,4]triazolo[1,5-c]quinazolin-5-amine",2690,285.694,1,6,2.7731,True,None
"3-[4-[2-[[6-amino-9-[5-(ethylcarbamoyl)-3,4-dihydroxyoxolan-2-yl]purin-2-yl]amino]ethyl]phenyl]propanoic acid",2691,499.528,6,11,-0.1644,False,Hydrogen bond donors > 5); Hydrogen bond acceptors > 10)
"2-[6-(cyclohexylamino)purin-9-yl]-5-(hydroxymethyl)oxolane-3,4-diol",2692,349.391,4,9,0.1824,True,None
"14-(hydroxymethyl)-3-[3-[[4-(hydroxymethyl)-5,7-dimethyl-6,8-dioxo-2,3-dithia-5,7-diazabicyclo[2.2.2]octan-1-yl]methyl]indol-1-yl]-18-methyl-15,16-dithia-10,12,18-triazapentacyclo[12.2.2.01,12.03,11.04,9]octadeca-4,6,8-triene-13,17-dione",2693,710.885,3,12,1.8735,False,Molecular Weight (g/mol) > 500); Hydrogen bond acceptors > 10)
"6-(6-benzyl-2,5,8,11-tetraoxo-3-propan-2-yl-1,4,7,10-tetrazabicyclo[10.3.0]pentadecan-9-yl)-N-hydroxyhexanamide",2694,529.638,5,6,0.8,False,Molecular Weight (g/mol) > 500)
"6-[3-butan-2-yl-6-[(4-methoxyphenyl)methyl]-2,5,8,11-tetraoxo-1,4,7,10-tetrazabicyclo[10.3.0]pentadecan-9-yl]-N-hydroxyhexanamide",2695,573.691,5,7,1.1987,False,Molecular Weight (g/mol) > 500)
"N-[4-(6-benzyl-2,5,8,11-tetraoxo-3-propan-2-yl-1,4,7,10-tetrazabicyclo[10.3.0]pentadecan-9-yl)butyl]acetamide",2696,513.639,4,5,0.6505,False,Molecular Weight (g/mol) > 500)
"6-(6-benzyl-2,5,8,11-tetraoxo-3-propan-2-yl-1,4,7,10-tetrazabicyclo[10.3.0]pentadecan-9-yl)hexanoic acid",2697,514.623,4,5,1.3792,False,Molecular Weight (g/mol) > 500)
"7-(6-benzyl-2,5,8,11-tetraoxo-3-propan-2-yl-1,4,7,10-tetrazabicyclo[10.3.0]pentadecan-9-yl)-N-hydroxyheptanamide",2698,543.665,5,6,1.1901,False,Molecular Weight (g/mol) > 500)
"5-(6-benzyl-2,5,8,11-tetraoxo-3-propan-2-yl-1,4,7,10-tetrazabicyclo[10.3.0]pentadecan-9-yl)-N-hydroxypentanamide",2699,515.611,5,6,0.4099,False,Molecular Weight (g/mol) > 500)
ethyl 13-cyclopent-2-en-1-yltridecanoate,2700,308.506,0,2,6.1969,False,Octanol-water partition coefficient (LogP) > 5)
"(1,2-dimethoxyphenanthro[2,1-f][1,3]benzodioxol-12-yl)azanium",2701,348.378,1,4,3.7655,True,None
"1,2-dimethoxyphenanthro[2,1-f][1,3]benzodioxol-12-amine",2702,347.37,1,5,4.4743,True,None
"1,2-dimethoxy-12-methyl-[1,3]benzodioxolo[5,6-c]phenanthridin-12-ium",2703,348.378,0,4,3.7166,True,None
"4-oxopiperidine-2,6-dicarboxylic acid",2704,187.151,3,4,-1.1547,True,None
"4-(5,8-dihydroxy-10a,12a-dimethyl-1,2,3,4,4a,4b,5,6,6a,7,8,9,10,10b,11,12-hexadecahydrochrysen-1-yl)pentanoic acid",2705,406.607,3,3,4.868,True,None
"3-benzyl-6,6-dimethyl-9-[6-(oxiran-2-yl)-6-oxohexyl]-1,4,7,10-tetrazabicyclo[10.3.0]pentadecane-2,5,8,11-tetrone",2706,526.634,3,6,1.0165,False,Molecular Weight (g/mol) > 500)
"2,2,2-trichloroethane-1,1-diol",2707,165.403,2,2,0.6673,True,None
4-[4-[bis(2-chloroethyl)amino]phenyl]butanoic acid,2708,304.217,1,2,3.3779,True,None
"4-[2-[(2,2-dichloroacetyl)amino]-3-hydroxy-3-(4-nitrophenyl)propoxy]-4-oxobutanoic acid",2709,423.205,3,7,1.3247,True,None
1-[(4-chlorophenyl)-phenylmethyl]-4-methylpiperazine,2710,300.833,0,2,3.6768,True,None
"1,3,4,7,8,9,10,10-octachlorotricyclo[5.2.1.02,6]decane",2711,411.798,0,0,5.2084,False,Octanol-water partition coefficient (LogP) > 5)
"7-chloro-4-hydroxy-N-methyl-5-phenyl-3H-1,4-benzodiazepin-2-imine",2712,299.761,1,3,1.8492,True,None
2-[6-[[amino-[[amino-(4-chloroanilino)methylidene]amino]methylidene]amino]hexyl]-1-[amino-(4-chloroanilino)methylidene]guanidine,2713,505.458,6,2,3.3366,False,Molecular Weight (g/mol) > 500); Hydrogen bond donors > 5)
"(17-acetyl-6-chloro-10,13-dimethyl-3-oxo-2,8,9,11,12,14,15,16-octahydro-1H-cyclopenta[a]phenanthren-17-yl) acetate",2714,404.934,0,4,4.7517,True,None
[3-[[amino(oxoniumylidene)methyl]amino]-2-methoxypropyl]-chloromercury,2715,368.206,2,1,-0.3358,True,None
[3-(carbamoylamino)-2-methoxypropyl]-chloromercury,2716,367.198,2,2,0.3243,True,None
"2-(4-chlorophenyl)-3-methyl-1,1-dioxo-1,3-thiazinan-4-one",2717,273.741,0,3,1.6155,True,None
(5-chloroquinolin-8-yl) acetate,2718,221.643,0,3,2.8135,True,None
"4-N-(7-chloroquinolin-4-yl)-1-N,1-N-diethylpentane-1,4-diamine",2719,319.88,1,3,4.8106,True,None
"6-chloro-1,1-dioxo-4H-1lambda6,2,4-benzothiadiazine-7-sulfonamide",2720,295.729,2,5,0.1299,True,None
"1-[2-chloro-1,2-bis(4-methoxyphenyl)ethenyl]-3-methoxybenzene",2721,380.871,0,3,5.8678,False,Octanol-water partition coefficient (LogP) > 5)
"5,7-dichloroquinolin-8-ol",2722,214.051,1,2,3.2472,True,None
"4-chloro-3,5-dimethylphenol",2723,156.612,1,1,2.66244,True,None
[3-(4-chlorophenoxy)-2-hydroxypropyl] carbamate,2724,245.662,2,4,1.175,True,None
"3-(4-chlorophenyl)-N,N-dimethyl-3-pyridin-2-ylpropan-1-amine",2725,274.795,0,2,3.8186,True,None
"3-(2-chlorophenothiazin-10-yl)-N,N-dimethylpropan-1-amine",2726,318.873,0,3,4.8944,True,None
1-(4-chlorophenyl)sulfonyl-3-propylurea,2727,276.745,2,3,1.7379,True,None
propan-2-yl N-(3-chlorophenyl)carbamate,2728,213.664,1,2,3.2969,True,None
"3-(2-chlorothioxanthen-9-ylidene)-N,N-dimethylpropan-1-amine",2729,315.869,0,2,5.188,False,Octanol-water partition coefficient (LogP) > 5)
"diethoxy-sulfanylidene-[(3,5,6-trichloro-2-pyridinyl)oxy]-lambda5-phosphane",2730,350.591,0,5,4.7181,True,None
"2-[amino(hydroxy)methylidene]-7-chloro-4-(dimethylamino)-6,10,11,12a-tetrahydroxy-6-methyl-4,4a,5,5a-tetrahydrotetracene-1,3,12-trione",2731,478.885,6,10,0.2824,False,Hydrogen bond donors > 5)
2-chloro-5-(1-hydroxy-3-oxo-2H-isoindol-1-yl)benzenesulfonamide,2732,338.772,3,4,0.9242,True,None
"5-chloro-3H-1,3-benzoxazol-2-one",2733,169.567,1,2,1.7745,True,None
"5-chloro-6-hydroxy-3H-1,3-benzoxazol-2-one",2734,185.566,2,3,1.4801,True,None
"3-[2-[7a-methyl-1-(6-methylheptan-2-yl)-2,3,3a,5,6,7-hexahydro-1H-inden-4-ylidene]ethylidene]-4-methylidenecyclohexan-1-ol",2735,384.648,1,1,7.619,False,Octanol-water partition coefficient (LogP) > 5)
"methyl 2-(6-hexadecyl-6-methoxy-3H-1,2-dioxin-3-yl)acetate",2736,412.611,0,5,6.6502,False,Octanol-water partition coefficient (LogP) > 5)
"4-[[15-[carboxy(hydroxy)methyl]-24,28,30-trihydroxy-18-[2-hydroxy-1-[[3,7,11,13-tetrahydroxy-12-[(7-hydroxy-9-methoxy-4,4,6,8,8-pentamethyl-5,9-dioxonon-2-enoyl)amino]-2,6,8,10,14-pentamethylpentadec-8-enoyl]amino]propyl]-19,23,25,27,29,34-hexamethyl-13,16-dioxo-17,36-dioxa-14-azabicyclo[30.3.1]hexatriaconta-3,5,9,11,22,26-hexaen-20-yl]oxy]-2-hydroxy-4-oxobutanoic acid",2737,1588.972,16,24,5.2646,False,Molecular Weight (g/mol) > 500); Hydrogen bond donors > 5); Hydrogen bond acceptors > 10); Octanol-water partition coefficient (LogP) > 5)
"2-hydroxy-2-[20,24,28,30-tetrahydroxy-18-[2-hydroxy-1-[[3,7,11,13-tetrahydroxy-12-[(7-hydroxy-9-methoxy-4,4,6,8,8-pentamethyl-5,9-dioxonon-2-enoyl)amino]-2,6,8,10,14-pentamethylpentadec-8-enoyl]amino]propyl]-19,23,25,27,29,34-hexamethyl-13,16-dioxo-17,36-dioxa-14-azabicyclo[30.3.1]hexatriaconta-3,5,9,11,22,26-hexaen-15-yl]acetic acid",2738,1472.9,15,21,5.8781,False,Molecular Weight (g/mol) > 500); Hydrogen bond donors > 5); Hydrogen bond acceptors > 10); Octanol-water partition coefficient (LogP) > 5)
"4-[[15-[carboxy(hydroxy)methyl]-24,28,30-trihydroxy-18-[2-hydroxy-1-[[3,7,11-trihydroxy-12-[(7-hydroxy-4,4,6,8-tetramethyl-5-oxonon-2-enoyl)amino]-2,6,8,10,14-pentamethylpentadec-8-enoyl]amino]propyl]-19,23,25,27,29,34-hexamethyl-13,16-dioxo-17,36-dioxa-14-azabicyclo[30.3.1]hexatriaconta-3,5,9,11,22,26-hexaen-20-yl]oxy]-2-hydroxy-4-oxobutanoic acid",2739,1514.937,15,21,6.7506,False,Molecular Weight (g/mol) > 500); Hydrogen bond donors > 5); Hydrogen bond acceptors > 10); Octanol-water partition coefficient (LogP) > 5)
"4-[[15-[carboxy(hydroxy)methyl]-20,26,30,32-tetrahydroxy-18,21,25,27,29,31,36-heptamethyl-13,16-dioxo-19-[[3,7,11,13-tetrahydroxy-12-[(7-hydroxy-9-methoxy-4,4,6,8,8-pentamethyl-5,9-dioxonon-2-enoyl)amino]-2,6,8,10,14-pentamethylpentadec-8-enoyl]amino]-17,38-dioxa-14-azabicyclo[32.3.1]octatriaconta-3,5,9,11,24,28-hexaen-22-yl]oxy]-2-hydroxy-4-oxobutanoic acid",2740,1588.972,16,24,5.2646,False,Molecular Weight (g/mol) > 500); Hydrogen bond donors > 5); Hydrogen bond acceptors > 10); Octanol-water partition coefficient (LogP) > 5)
4-oxochromene-2-carboxylic acid,2741,190.154,1,3,1.4912,True,None
"[6-[[6-[5-[5-(5-acetyloxy-4-hydroxy-4,6-dimethyloxan-2-yl)oxy-4-hydroxy-3-methyloxan-2-yl]-4-hydroxy-3-methyloxan-2-yl]oxy-7-(3,4-dihydroxy-1-methoxy-2-oxopentyl)-4,10-dihydroxy-3-methyl-5-oxo-7,8-dihydro-6H-anthracen-2-yl]oxy]-4-(4-hydroxy-5-methoxy-6-methyloxan-2-yl)oxy-2-methyloxan-3-yl] acetate",2742,1167.258,8,25,1.53492,False,Molecular Weight (g/mol) > 500); Hydrogen bond donors > 5); Hydrogen bond acceptors > 10)
"2,2-dimethyl-3-(2-methylprop-1-enyl)cyclopropane-1-carboxylic acid",2743,168.236,1,1,2.3094,True,None
"4,5-dihydroxy-2-phenylchromen-7-one",2744,254.241,2,4,2.8228,True,None
"2-[[2-[[2-(2-amino-1,4,5,6-tetrahydropyrimidin-6-yl)-2-[(1-carboxy-2-phenylethyl)carbamoylamino]acetyl]amino]-4-methylpentanoyl]amino]-3-phenylpropanoic acid",2745,623.711,8,8,0.3697,False,Molecular Weight (g/mol) > 500); Hydrogen bond donors > 5)
4-acetamido-N-(2-aminophenyl)benzamide,2746,269.304,3,3,2.4795,True,None
"2-(2,2-diphenylcyclopropyl)-4,5-dihydro-1H-imidazole",2747,262.356,1,2,2.9943,True,None
"6-[(1-aminocyclohexanecarbonyl)amino]-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid",2748,341.433,3,5,0.2797,True,None
6-cyclohexyl-1-hydroxy-4-methylpyridin-2-one,2749,207.273,1,3,2.44172,True,None
"5-[[4-[(1-methylcyclohexyl)methoxy]phenyl]methyl]-1,3-thiazolidine-2,4-dione",2750,333.453,1,4,3.9299,True,None
"7-[(1-ethoxy-1-oxo-4-phenylbutan-2-yl)amino]-6-oxo-1,2,3,4,7,8,9,10-octahydropyridazino[1,2-a]diazepine-4-carboxylic acid",2751,417.506,2,6,1.5955,True,None
"3-O-(2-methoxyethyl) 5-O-(3-phenylprop-2-enyl) 2,6-dimethyl-4-(3-nitrophenyl)-1,4-dihydropyridine-3,5-dicarboxylate",2752,492.528,1,8,4.2758,True,None
N-cyclohexyl-N-methyl-4-[(2-oxo-1H-quinolin-6-yl)oxy]butanamide,2753,342.439,1,3,3.4782,True,None
"6-[4-(1-cyclohexyltetrazol-5-yl)butoxy]-3,4-dihydro-1H-quinolin-2-one",2754,369.469,1,6,3.4647,True,None
2-amino-5-[1-hydroxy-2-(propan-2-ylamino)ethyl]benzonitrile,2755,219.288,3,4,1.17188,True,None
1-cyano-2-methyl-3-[2-[(5-methyl-1H-imidazol-4-yl)methylsulfanyl]ethyl]guanidine,2756,252.347,3,4,0.5974,True,None
(5-ethenyl-1-azabicyclo[2.2.2]octan-2-yl)-quinolin-4-ylmethanol,2757,294.398,1,3,3.1646,True,None
"1,3,3-trimethyl-2-oxabicyclo[2.2.2]octane",2758,154.253,0,1,2.7441,True,None
"1-[4-(2-oxo-2-pyrrolidin-1-ylethyl)piperazin-1-yl]-3-(3,4,5-trimethoxyphenyl)prop-2-en-1-one",2759,417.506,0,6,1.4922,True,None
1-benzhydryl-4-(3-phenylprop-1-enyl)piperazine,2760,368.524,0,2,5.15,False,Octanol-water partition coefficient (LogP) > 5)
1-benzhydryl-4-(3-phenylprop-2-enyl)piperazine,2761,368.524,0,2,5.107,False,Octanol-water partition coefficient (LogP) > 5)
